21
70
0.607253, 0.000000, 70.000000
0.607253, 0.607253, 25.000000
0.303626, 0.910879, -1.565051
0.531346, 0.834973, 12.471192
0.426975, 0.901391, 5.346176
0.370638, 0.928077, 1.769842
0.341635, 0.939659, -0.020069
0.356318, 0.934321, 0.875105
0.349018, 0.937105, 0.427491
0.345358, 0.938468, 0.203680
0.343525, 0.939143, 0.091774
0.342608, 0.939478, 0.035822
0.342149, 0.939646, 0.007845
0.341919, 0.939729, -0.006143
0.342034, 0.939688, 0.000851
0.341977, 0.939708, -0.002646
0.342005, 0.939698, -0.000898
0.342020, 0.939693, -0.000023
0.342027, 0.939690, 0.000414
0.342023, 0.939691, 0.000195
0.342022, 0.939692, 0.000086
